index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Number_of_Self_Activations,Self Activation Status,Team Size
Density 20%_Without Self Activation_Network_15,Lowered Density,Density 20%,0.4861069175871925,0.4875867908314993,-0.8648268995316424,0.2918602431108,0.0309298033475466,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_16,Lowered Density,Density 20%,0.4328157474992761,0.4344556699214024,-0.8335651946114471,0.2671425764621127,0.0309777981531207,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_17,Lowered Density,Density 20%,0.4209786873849983,0.4237938380584962,-0.818048444227864,0.2090009891196834,0.0189910979228486,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_18,Lowered Density,Density 20%,0.4703127036887702,0.4737089284216641,-0.8596513990704694,0.3553076402974983,0.0524847870182555,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_19,Lowered Density,Density 20%,0.4356528153246792,0.4346169676361052,-0.8326237253757892,0.2649799404684871,0.0324834994176265,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_20,Lowered Density,Density 20%,0.4842009634935635,0.4885224214326502,-0.8645006178535994,0.2925911757204795,0.030221882172915,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_21,Lowered Density,Density 20%,0.4207672735257983,0.4254252314002266,-0.8193512646147665,0.2113491317468955,0.020531341216049,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_22,Lowered Density,Density 20%,0.4815685739275823,0.4799083752413843,-0.8571496950569051,0.2837880811549959,0.031037333842142,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_23,Lowered Density,Density 20%,0.5248434591341152,0.5363484503299871,-0.8857226464448453,0.3726722903071781,0.0447238580296036,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_24,Lowered Density,Density 20%,0.4226905934541556,0.4233105653670441,-0.8173758734167217,0.2101580589952683,0.0199838920769153,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_25,Lowered Density,Density 20%,0.4317557314979588,0.4359442475742645,-0.8298420731768964,0.2646904512067156,0.0314795383001049,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_26,Lowered Density,Density 20%,0.4643013713964137,0.4719963042377828,-0.8571209555905829,0.3502576666385064,0.0505195573202669,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_27,Lowered Density,Density 20%,0.5421367311206841,0.5566501389080424,-0.904873961290224,0.4499060429235486,0.0593413114429828,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_28,Lowered Density,Density 20%,0.5266882696169102,0.5329203047173815,-0.8867631617923792,0.3684674575184354,0.0434434113497916,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_29,Lowered Density,Density 20%,0.4335042033814994,0.4371791843872147,-0.8307989252909106,0.2683534347142108,0.0292999475616151,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_30,Lowered Density,Density 20%,0.4338500800531371,0.4358369464876553,-0.8334449091157228,0.2729522073186612,0.0282588878760255,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_31,Lowered Density,Density 20%,0.4678588959096724,0.4715803726645532,-0.8593079140964478,0.3504858470637938,0.0474017743979721,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_32,Lowered Density,Density 20%,0.5183217448136236,0.5370555955146342,-0.8876274139230923,0.3734293717486995,0.0401760704281712,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_33,Lowered Density,Density 20%,0.5272798924407996,0.5276975570283825,-0.8870104139890621,0.3626556674863171,0.0439438407234076,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_34,Lowered Density,Density 20%,0.5276988887357235,0.5304650637541943,-0.8886524724585211,0.3727655517597521,0.0465559704456979,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_35,Lowered Density,Density 20%,0.5271698382657791,0.5263269431068939,-0.8838984635451441,0.3586152009550338,0.0434540389972144,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_36,Lowered Density,Density 20%,0.4799845227459359,0.4839788759183036,-0.8586786747980012,0.2908394510054261,0.0319182891796999,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_37,Lowered Density,Density 20%,0.5496417928296683,0.5625564704529499,-0.9116040077417632,0.4625816669966343,0.0647396555137596,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_38,Lowered Density,Density 20%,0.4760276800847687,0.4829579122780528,-0.8571428265411,0.2833131724708728,0.0308142866237983,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_39,Lowered Density,Density 20%,0.47958096743841,0.480925163974239,-0.8567958619885975,0.2831869589941239,0.029001074113856,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_40,Lowered Density,Density 20%,0.4301409145479413,0.4373120777454963,-0.831938176392031,0.2658061979951516,0.0298106532136539,0.1,0,Without Self Activation,5.0
Density 20%_Without Self Activation_Network_41,Lowered Density,Density 20%,0.5543266638169249,0.554677765320179,-0.9089027562319822,0.454572387912305,0.0647837250641912,0.1,0,Without Self Activation,5.0
