index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
Density_20_TS_5_embed_P30N_C10N_trial_37,20.0,0.4689882220028084,0.0122066666666666,0.0247,5,0.0,50.0,50.0,40.0,40.0,2.1333333333333333
Density_20_TS_5_embed_P30N_C10N_trial_38,20.0,0.0441801123843941,0.0251466666666661,0.0283,5,0.0,90.0,90.0,75.0,75.0,8.966666666666667
Density_20_TS_5_embed_P30N_C10N_trial_39,20.0,-0.9369012382551164,0.7733166666666655,0.0606,5,0.0,10.0,10.0,90.0,90.0,2.7333333333333334
Density_20_TS_5_embed_P30N_C10N_trial_40,20.0,-0.8630815816313155,0.0791533333333321,0.032,5,0.0,65.0,65.0,70.0,70.0,9.0
Density_20_TS_5_embed_P30N_C10N_trial_41,20.0,-0.3246303755162483,0.0262533333333323,0.0797,5,0.0,55.0,55.0,5.0,5.0,4.066666666666666
Density_20_TS_5_embed_P30N_C10N_trial_42,20.0,-0.9320419631433956,0.7414666666666626,0.0901,5,0.0,5.0,5.0,85.0,85.0,8.666666666666666
Density_20_TS_5_embed_P30N_C10N_trial_43,20.0,0.0155834049043208,0.0049633333333333,0.0325,5,0.0,45.0,45.0,40.0,40.0,3.6
Density_20_TS_5_embed_P30N_C10N_trial_44,20.0,-0.8045777076844995,0.052793333333332,0.0492999999999999,5,0.0,25.0,25.0,70.0,70.0,3.933333333333333
Density_20_TS_5_embed_P30N_C10N_trial_45,20.0,-0.9956954579249576,0.4739666666666633,0.0723999999999999,5,0.0,5.0,5.0,40.0,40.0,6.966666666666667
Density_20_TS_5_embed_P30N_C10N_trial_46,20.0,-0.3978227290043029,0.0062333333333332,0.0741,5,0.0,45.0,45.0,5.0,5.0,6.666666666666667
Density_20_TS_5_embed_P30N_C10N_trial_47,20.0,-0.4437044627458208,0.0196166666666656,0.0319,5,0.0,85.0,85.0,25.0,25.0,8.733333333333333
Density_20_TS_5_embed_P30N_C10N_trial_48,20.0,0.3743352423139643,0.0036233333333333,0.0235,5,0.0,70.0,70.0,80.0,80.0,5.766666666666667
Density_20_TS_5_embed_P30N_C10N_trial_49,20.0,-0.6958527138456345,0.084009999999998,0.073,5,0.0,15.0,15.0,25.0,25.0,4.833333333333333
Density_20_TS_5_embed_P30N_C10N_trial_50,20.0,-0.048732638198714,0.0192199999999995,0.0434,5,0.0,85.0,85.0,25.0,25.0,2.566666666666667
Density_20_TS_5_embed_P30N_C10N_trial_51,20.0,-0.4750139028430475,0.0061699999999999,0.0257,5,0.0,75.0,75.0,70.0,70.0,6.166666666666667
Density_20_TS_5_embed_P30N_C10N_trial_52,20.0,-0.8309295932052726,0.1012266666666644,0.0306999999999999,5,0.0,80.0,80.0,60.0,60.0,5.433333333333334
Density_20_TS_5_embed_P30N_C10N_trial_53,20.0,-0.6605957022442202,0.0126399999999998,0.0365,5,0.0,70.0,70.0,15.0,15.0,5.066666666666666
Density_20_TS_5_embed_P30N_C10N_trial_54,20.0,-0.8719159838378632,0.0183466666666666,0.0217,5,0.0,65.0,65.0,95.0,95.0,9.0
Density_20_TS_5_embed_P30N_C10N_trial_55,20.0,-0.9992503839626232,0.8077333333333301,0.1069,5,0.0,5.0,5.0,85.0,85.0,2.1
Density_20_TS_5_embed_P30N_C10N_trial_56,20.0,-0.3538433688561516,0.0121266666666666,0.0339999999999999,5,0.0,40.0,40.0,80.0,80.0,9.833333333333334
Density_20_TS_5_embed_P30N_C10N_trial_57,20.0,-0.4684285738830642,0.0214766666666666,0.0526,5,0.0,80.0,80.0,15.0,15.0,6.466666666666667
Density_20_TS_5_embed_P30N_C10N_trial_58,20.0,-0.6393875959447342,0.0099933333333331,0.0394,5,0.0,65.0,65.0,30.0,30.0,3.8666666666666663
Density_20_TS_5_embed_P30N_C10N_trial_59,20.0,-0.9704305104630312,0.7479933333333243,0.0670999999999999,5,0.0,15.0,15.0,40.0,40.0,8.0
Density_20_TS_5_embed_P30N_C10N_trial_60,20.0,-0.4354289615714017,0.0075366666666665,0.0358,5,0.0,40.0,40.0,25.0,25.0,7.6
Density_20_TS_5_embed_P30N_C10N_trial_61,20.0,-0.2383245131578435,0.0180433333333332,0.0516,5,0.0,25.0,25.0,40.0,40.0,7.533333333333333
Density_20_TS_5_embed_P30N_C10N_trial_62,20.0,-0.418319231526614,0.0302999999999992,0.0211,5,0.0,65.0,65.0,45.0,45.0,5.233333333333333
Density_20_TS_5_embed_P30N_C10N_trial_63,20.0,-0.8511635174240877,0.0210266666666664,0.0553,5,0.0,80.0,80.0,10.0,10.0,9.566666666666666
Density_20_TS_5_embed_P30N_C10N_trial_64,20.0,-0.4013829064275835,0.0805433333333316,0.0675,5,0.0,20.0,20.0,30.0,30.0,8.5
Density_20_TS_5_embed_P30N_C10N_trial_65,20.0,-0.7640423286593482,0.0431099999999992,0.0982,5,0.0,60.0,60.0,5.0,5.0,3.4
Density_20_TS_5_embed_P30N_C10N_trial_66,20.0,-0.9037919257757424,0.252623333333329,0.0678,5,0.0,15.0,15.0,30.0,30.0,7.166666666666667
Density_20_TS_5_embed_P30N_C10N_trial_67,20.0,0.2560805384422773,0.0268333333333332,0.0457,5,0.0,15.0,15.0,95.0,95.0,9.666666666666666
Density_20_TS_5_embed_P30N_C10N_trial_68,20.0,0.6954699369660182,0.0058099999999999,0.0138,5,0.0,60.0,60.0,80.0,80.0,2.033333333333333
Density_20_TS_5_embed_P30N_C10N_trial_69,20.0,-0.7975414721947943,0.1169866666666648,0.032,5,0.0,95.0,95.0,85.0,85.0,2.8
Density_20_TS_5_embed_P30N_C10N_trial_70,20.0,-0.7952920126114313,0.036136666666666,0.0478,5,0.0,30.0,30.0,25.0,25.0,7.866666666666666
Density_20_TS_5_embed_P30N_C10N_trial_71,20.0,0.6188103602517154,0.0084299999999995,0.0672,5,0.0,90.0,90.0,5.0,5.0,3.966666666666667
