index,Core Density,CC AB,F1,Team_Strength,Team Size,Impurity,Indegree_Team_A,Indegree_Team_B,Outdegree_Team_A,Outdegree_Team_B,External Network Density
TS_6_embed_P30N_C12N_trial_47,100.0,-0.9733804502326442,0.9356133333333,0.5082638888888888,6,0.0,114.0,114.0,18.0,18.0,5.4
TS_6_embed_P30N_C12N_trial_48,100.0,-1.0,0.9999633333333104,0.4663194444444445,6,0.0,24.0,24.0,78.0,78.0,9.8
TS_6_embed_P30N_C12N_trial_49,100.0,-0.999999999999964,0.9999266666666622,0.2722916666666666,6,0.0,84.0,84.0,114.0,114.0,2.466666666666667
TS_6_embed_P30N_C12N_trial_50,100.0,-1.0,0.9999566666666662,0.6407638888888889,6,0.0,36.0,36.0,42.0,42.0,3.1666666666666665
TS_6_embed_P30N_C12N_trial_51,100.0,-1.0,0.9999999999999878,0.9290972222222224,6,0.0,6.0,6.0,24.0,24.0,4.1
TS_6_embed_P30N_C12N_trial_52,100.0,-1.0,0.9998499999999628,0.8799305555555554,6,0.0,48.0,48.0,6.0,6.0,3.7666666666666666
TS_6_embed_P30N_C12N_trial_53,100.0,-1.0,0.9999899999999942,0.3320833333333333,6,0.0,42.0,42.0,114.0,114.0,9.3
TS_6_embed_P30N_C12N_trial_54,100.0,-0.9974503296745888,0.9933299999999812,0.3178472222222222,6,0.0,108.0,108.0,48.0,48.0,6.466666666666667
TS_6_embed_P30N_C12N_trial_55,100.0,-0.9999999999989944,0.9997833333333296,0.448888888888889,6,0.0,30.0,30.0,114.0,114.0,2.3
TS_6_embed_P30N_C12N_trial_56,100.0,-0.9989318621688624,0.9976499999999796,0.6167361111111112,6,0.0,60.0,60.0,24.0,24.0,4.833333333333333
TS_6_embed_P30N_C12N_trial_57,100.0,-0.998897946905535,0.9958466666666472,0.339861111111111,6,0.0,66.0,66.0,60.0,60.0,9.8
TS_6_embed_P30N_C12N_trial_58,100.0,-1.0,0.999986666666664,0.3447916666666666,6,0.0,54.0,54.0,90.0,90.0,6.0
TS_6_embed_P30N_C12N_trial_59,100.0,-0.9999999997790768,0.9991066666666646,0.2522222222222222,6,0.0,108.0,108.0,102.0,102.0,3.466666666666667
TS_6_embed_P30N_C12N_trial_60,100.0,-1.0,0.9999966666666644,0.5015972222222222,6,0.0,24.0,24.0,72.0,72.0,8.3
TS_6_embed_P30N_C12N_trial_61,100.0,-0.9964313230757024,0.992616666666652,0.2354861111111111,6,0.0,114.0,114.0,102.0,102.0,3.8666666666666663
TS_6_embed_P30N_C12N_trial_62,100.0,-0.8983413949840869,0.5496166666666648,0.2626388888888888,6,0.0,108.0,108.0,72.0,72.0,4.466666666666667
TS_6_embed_P30N_C12N_trial_63,100.0,-0.999999999999964,0.9998766666666566,0.3432638888888888,6,0.0,90.0,90.0,54.0,54.0,7.033333333333333
TS_6_embed_P30N_C12N_trial_64,100.0,-1.0,0.999963333333326,0.6803472222222222,6,0.0,42.0,42.0,18.0,18.0,8.1
TS_6_embed_P30N_C12N_trial_65,100.0,-0.9999999999996132,0.999876666666662,0.495,6,0.0,60.0,60.0,42.0,42.0,5.1
TS_6_embed_P30N_C12N_trial_66,100.0,-0.9999999999999832,0.9999466666666492,0.3413888888888888,6,0.0,72.0,72.0,72.0,72.0,6.133333333333334
TS_6_embed_P30N_C12N_trial_67,100.0,-0.9999999999989058,0.9998499999999952,0.2638888888888888,6,0.0,66.0,66.0,114.0,114.0,5.0
TS_6_embed_P30N_C12N_trial_68,100.0,-1.0,0.9999833333333288,0.3450694444444444,6,0.0,54.0,54.0,102.0,102.0,3.5
TS_6_embed_P30N_C12N_trial_69,100.0,-0.9587253148120412,0.8964033333333258,0.2438888888888889,6,0.0,90.0,90.0,102.0,102.0,4.566666666666666
TS_6_embed_P30N_C12N_trial_70,100.0,-1.0,0.9999999999999812,0.8911805555555555,6,0.0,6.0,6.0,36.0,36.0,7.066666666666666
TS_6_embed_P30N_C12N_trial_71,100.0,-1.0,0.9999933333333328,0.76875,6,0.0,6.0,6.0,102.0,102.0,5.7
TS_6_embed_P30N_C12N_trial_72,100.0,-0.999889601898641,0.9983766666666528,0.6649305555555556,6,0.0,102.0,102.0,12.0,12.0,2.8
TS_6_embed_P30N_C12N_trial_73,100.0,-1.0,0.9999866666666642,0.2520138888888889,6,0.0,72.0,72.0,114.0,114.0,6.9
TS_6_embed_P30N_C12N_trial_74,100.0,-1.0,0.9999699999999996,0.4197916666666668,6,0.0,42.0,42.0,72.0,72.0,5.433333333333334
TS_6_embed_P30N_C12N_trial_75,100.0,-1.0,0.9999199999999916,0.3472222222222222,6,0.0,48.0,48.0,84.0,84.0,9.266666666666667
TS_6_embed_P30N_C12N_trial_76,100.0,-0.9999999999993516,0.9997866666666656,0.2496527777777778,6,0.0,78.0,78.0,120.0,120.0,6.5
TS_6_embed_P30N_C12N_trial_77,100.0,-0.9740580212454012,0.9408733333333296,0.2347916666666666,6,0.0,114.0,114.0,90.0,90.0,4.133333333333334
