index,Type,Core_Density,Peripheral_Nodes,BiC A,BiC B,CC AB,F1 (Average),F1 (Strict),Team Strength,Team Size,Percentage_Impurity
0Indegree80% Density_0 Nodes_0 Edges_28,Lowered Density,80% Density,0 Nodes,0.5171277489695482,0.5233376749420161,0.876172609942677,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_29,Lowered Density,80% Density,0 Nodes,0.435131791313576,0.4721270843997124,0.8237819637876103,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_30,Lowered Density,80% Density,0 Nodes,0.5415488309334063,0.5287378734258978,0.8663067739700747,0.0001152372446774,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_31,Lowered Density,80% Density,0 Nodes,0.5249432207798854,0.4906395373626708,0.8390622262232263,2.663612391124844e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_32,Lowered Density,80% Density,0 Nodes,0.5268350931789008,0.5005513238474485,0.8227568688721913,0.0003750180297129,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_33,Lowered Density,80% Density,0 Nodes,0.4304767270370583,0.4667808156268913,0.8207479124371628,5.668452229118839e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_34,Lowered Density,80% Density,0 Nodes,0.4908473906474273,0.505493199167641,0.854067779513946,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_35,Lowered Density,80% Density,0 Nodes,0.4254560456298471,0.3932567701900154,0.7980185490154732,0.000151503673964,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_36,Lowered Density,80% Density,0 Nodes,0.4470909513653315,0.4209260095386312,0.792343943623976,4.569339730408956e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_37,Lowered Density,80% Density,0 Nodes,0.4259842222001306,0.4534286162447222,0.840196041299246,0.0001130550295356,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_38,Lowered Density,80% Density,0 Nodes,0.4800441814972657,0.4727287112250807,0.8090938479041229,0.0002760697703601,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_39,Lowered Density,80% Density,0 Nodes,0.4282803445261561,0.4233702257323785,0.7887742685136098,2.5021268077866187e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_40,Lowered Density,80% Density,0 Nodes,0.4674711473288215,0.4413968532799265,0.8338518777895232,2.8537183950687746e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_41,Lowered Density,80% Density,0 Nodes,0.4197625044813982,0.4310532800962312,0.8095922565801861,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_42,Lowered Density,80% Density,0 Nodes,0.4697954314178557,0.4252620399090233,0.8080334588328695,5.023106288929074e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_43,Lowered Density,80% Density,0 Nodes,0.4411208754545642,0.4760919036410691,0.844859587650662,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_44,Lowered Density,80% Density,0 Nodes,0.4261330546465366,0.4758461659748068,0.8404194651942987,3.024711896191888e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_45,Lowered Density,80% Density,0 Nodes,0.4070322612241356,0.4432271337443302,0.7899247512472355,8.170157139355648e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_46,Lowered Density,80% Density,0 Nodes,0.5451546330442721,0.5390713036240611,0.8378141899762203,0.0002208602506763,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_47,Lowered Density,80% Density,0 Nodes,0.4188814802487986,0.4825620386636626,0.8093843816755628,5.690062306182253e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_48,Lowered Density,80% Density,0 Nodes,0.4635994292671062,0.457246773955088,0.8492199026670579,0.000147149710115,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_49,Lowered Density,80% Density,0 Nodes,0.4624830849807088,0.4369073069061385,0.8071122593510718,5.896052592789128e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_50,Lowered Density,80% Density,0 Nodes,0.4930900226751387,0.4657730276911236,0.8367603458904175,5.438329345225147e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_51,Lowered Density,80% Density,0 Nodes,0.4842358235888685,0.5238501937704226,0.8398128023730616,0.0001546742560168,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_52,Lowered Density,80% Density,0 Nodes,0.5164264475101599,0.4807778594364142,0.8621808333948415,0.0,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_53,Lowered Density,80% Density,0 Nodes,0.4749319576857978,0.4398018281194789,0.8201764768980428,0.000288292443855,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_54,Lowered Density,80% Density,0 Nodes,0.5008126673398084,0.4923036289151759,0.8483391047159778,0.0001666990803767,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_55,Lowered Density,80% Density,0 Nodes,0.4239895346170464,0.4470708169258996,0.8178920058218205,5.196559877361187e-05,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_56,Lowered Density,80% Density,0 Nodes,0.4385681564804091,0.4111310985484722,0.7782493803859655,0.0004585052728106,0.0,0.02,5,100% Impurity
0Indegree80% Density_0 Nodes_0 Edges_57,Lowered Density,80% Density,0 Nodes,0.4843109486317867,0.4485788242541483,0.8169900541270434,0.0001684210526315,0.0,0.02,5,100% Impurity
