,index,Team Size,CC AB,F1,Team_Strength,Core Density,Impurity,Self Activation Status
924,Random_Network_Density_above_20p_Impurity_below_40p_925,5,-0.919670337105718,6.666666666666667e-05,0.047700000000000006,92.0,34.78260869565217,With Self Activation
925,Random_Network_Density_above_20p_Impurity_below_40p_926,5,-0.5895565013390175,0.0461699999999999,0.091,20.0,20.0,With Self Activation
926,Random_Network_Density_above_20p_Impurity_below_40p_927,5,-0.8716068764581578,0.0,0.028200000000000003,56.00000000000001,28.57142857142857,With Self Activation
927,Random_Network_Density_above_20p_Impurity_below_40p_928,5,-0.9999985850921893,0.8860466666666666,0.18080000000000002,72.0,16.666666666666668,With Self Activation
928,Random_Network_Density_above_20p_Impurity_below_40p_929,5,-0.9612785445605294,0.6913933333333333,0.1335,56.00000000000001,21.428571428571427,With Self Activation
929,Random_Network_Density_above_20p_Impurity_below_40p_930,5,-1.0,0.0,0.019,28.000000000000004,28.57142857142857,With Self Activation
930,Random_Network_Density_above_20p_Impurity_below_40p_931,5,-0.9929332262838415,0.0,0.134,68.0,23.52941176470588,With Self Activation
931,Random_Network_Density_above_20p_Impurity_below_40p_932,5,-0.8859417710209152,0.2537366666666666,0.0572,80.0,30.0,With Self Activation
932,Random_Network_Density_above_20p_Impurity_below_40p_933,5,-0.9999999999999999,1.0,0.4156,44.0,9.090909090909092,With Self Activation
933,Random_Network_Density_above_20p_Impurity_below_40p_934,5,-0.910835004744938,0.0,0.13329999999999997,36.0,11.11111111111111,With Self Activation
934,Random_Network_Density_above_20p_Impurity_below_40p_935,5,-0.8261129223266739,0.0,0.07469999999999999,44.0,27.272727272727273,With Self Activation
935,Random_Network_Density_above_20p_Impurity_below_40p_936,5,-0.9479397191359088,0.7241199999999999,0.0779,56.00000000000001,21.428571428571427,With Self Activation
936,Random_Network_Density_above_20p_Impurity_below_40p_937,5,-0.9181773108126459,6.333333333333335e-05,0.027299999999999998,64.0,37.5,With Self Activation
937,Random_Network_Density_above_20p_Impurity_below_40p_938,5,-0.9999891104916538,0.9825366666666666,0.968,68.0,0.0,With Self Activation
938,Random_Network_Density_above_20p_Impurity_below_40p_939,5,-0.9999864910160134,0.98097,0.9429999999999998,48.0,0.0,With Self Activation
939,Random_Network_Density_above_20p_Impurity_below_40p_940,5,-0.8864272107469088,0.39511666666666656,0.1355,64.0,18.75,With Self Activation
940,Random_Network_Density_above_20p_Impurity_below_40p_941,5,-0.9263998040863279,0.47422333333333333,0.1138,60.0,20.0,With Self Activation
941,Random_Network_Density_above_20p_Impurity_below_40p_942,5,-0.2504483271231758,0.0,0.0365,80.0,35.0,With Self Activation
942,Random_Network_Density_above_20p_Impurity_below_40p_943,5,-1.0,1.0,0.3168,72.0,11.11111111111111,With Self Activation
943,Random_Network_Density_above_20p_Impurity_below_40p_944,5,-0.8506877191818512,0.3739966666666666,0.9109999999999999,36.0,0.0,With Self Activation
944,Random_Network_Density_above_20p_Impurity_below_40p_945,5,-0.9563609542094228,0.7387133333333333,0.9209999999999998,40.0,0.0,With Self Activation
945,Random_Network_Density_above_20p_Impurity_below_40p_946,5,-0.9250023446149291,0.0011033333333332,0.032,72.0,33.333333333333336,With Self Activation
946,Random_Network_Density_above_20p_Impurity_below_40p_947,5,-0.824410315061069,6.6666666666666675e-06,0.0256,64.0,37.5,With Self Activation
947,Random_Network_Density_above_20p_Impurity_below_40p_948,5,-0.91580813919598,0.4424599999999999,0.04870000000000001,88.0,31.818181818181824,With Self Activation
948,Random_Network_Density_above_20p_Impurity_below_40p_949,5,-0.9999560723238895,0.9649433333333333,0.3307,76.0,10.526315789473685,With Self Activation
949,Random_Network_Density_above_20p_Impurity_below_40p_950,5,-0.9989836965875224,0.9220033333333333,0.996,96.0,0.0,With Self Activation
950,Random_Network_Density_above_20p_Impurity_below_40p_951,5,-0.804111730960302,0.12449,0.5750000000000002,20.0,0.0,With Self Activation
951,Random_Network_Density_above_20p_Impurity_below_40p_952,5,-0.9999889705734574,0.9826900000000001,0.992,92.0,0.0,With Self Activation
952,Random_Network_Density_above_20p_Impurity_below_40p_953,5,-0.9145016895273053,0.5743199999999999,0.05759999999999999,84.0,28.571428571428573,With Self Activation
953,Random_Network_Density_above_20p_Impurity_below_40p_954,5,-0.7342429618032036,0.0,0.125,72.0,22.22222222222222,With Self Activation
954,Random_Network_Density_above_20p_Impurity_below_40p_955,5,-0.9999994519254659,0.9934866666666665,0.37720000000000004,92.0,8.695652173913043,With Self Activation
955,Random_Network_Density_above_20p_Impurity_below_40p_956,5,-0.9514949982715614,0.48919999999999986,0.8739999999999999,28.000000000000004,0.0,With Self Activation
956,Random_Network_Density_above_20p_Impurity_below_40p_957,5,-0.9991207828033625,0.7510566666666666,0.2913,72.0,11.11111111111111,With Self Activation
957,Random_Network_Density_above_20p_Impurity_below_40p_958,5,-0.9998801064482855,1.0000000000000003e-05,0.06669999999999998,84.0,33.333333333333336,With Self Activation
958,Random_Network_Density_above_20p_Impurity_below_40p_959,5,-0.9116667541967273,0.4489899999999999,0.31570000000000004,40.0,10.0,With Self Activation
959,Random_Network_Density_above_20p_Impurity_below_40p_960,5,-0.8961082076103668,0.2581266666666666,0.10250000000000001,72.0,22.22222222222222,With Self Activation
960,Random_Network_Density_above_20p_Impurity_below_40p_961,5,-0.9529461574640801,0.07872999999999991,0.0346,84.0,38.095238095238095,With Self Activation
961,Random_Network_Density_above_20p_Impurity_below_40p_962,5,0.5333715188047979,0.0,0.022000000000000002,24.0,33.333333333333336,With Self Activation
962,Random_Network_Density_above_20p_Impurity_below_40p_963,5,-0.9210265906563293,0.0,0.047700000000000006,88.0,31.818181818181824,With Self Activation
963,Random_Network_Density_above_20p_Impurity_below_40p_964,5,-0.35606758058613536,0.0002133333333333,0.022700000000000005,80.0,40.0,With Self Activation
964,Random_Network_Density_above_20p_Impurity_below_40p_965,5,-0.9989307222200552,0.8941733333333333,0.15550000000000003,68.0,17.64705882352941,With Self Activation
965,Random_Network_Density_above_20p_Impurity_below_40p_966,5,-0.8531538591186613,0.3375799999999999,0.094,36.0,22.22222222222222,With Self Activation
966,Random_Network_Density_above_20p_Impurity_below_40p_967,5,-0.882935146660684,0.3126733333333333,0.11679999999999999,68.0,23.52941176470588,With Self Activation
967,Random_Network_Density_above_20p_Impurity_below_40p_968,5,-0.9755978120318926,0.0,0.0687,96.0,29.16666666666667,With Self Activation
968,Random_Network_Density_above_20p_Impurity_below_40p_969,5,-0.9023517636991004,0.0,0.07799999999999999,88.0,27.272727272727273,With Self Activation
969,Random_Network_Density_above_20p_Impurity_below_40p_970,5,-0.9999718318529536,0.7891799999999999,0.5044,60.0,6.666666666666667,With Self Activation
970,Random_Network_Density_above_20p_Impurity_below_40p_971,5,-1.0,0.9906166666666665,0.37829999999999997,96.0,8.333333333333334,With Self Activation
971,Random_Network_Density_above_20p_Impurity_below_40p_972,5,-0.9995422762260663,0.9320833333333333,0.9589999999999999,60.0,0.0,With Self Activation
972,Random_Network_Density_above_20p_Impurity_below_40p_973,5,-0.9091760090734654,0.67042,0.029400000000000003,92.0,39.130434782608695,With Self Activation
973,Random_Network_Density_above_20p_Impurity_below_40p_974,5,-0.9999861376861383,0.96837,0.32860000000000006,88.0,9.090909090909092,With Self Activation
974,Random_Network_Density_above_20p_Impurity_below_40p_975,5,-0.6773994313676781,0.0,0.03459999999999999,20.0,40.0,With Self Activation
975,Random_Network_Density_above_20p_Impurity_below_40p_976,5,-0.9989092975753882,0.9202966666666668,0.6335999999999999,100.0,4.0,With Self Activation
976,Random_Network_Density_above_20p_Impurity_below_40p_977,5,-0.9999962639796097,0.9883666666666666,0.984,84.0,0.0,With Self Activation
977,Random_Network_Density_above_20p_Impurity_below_40p_978,5,-0.8364204767043265,0.3013766666666666,0.8890000000000001,32.0,0.0,With Self Activation
978,Random_Network_Density_above_20p_Impurity_below_40p_979,5,-0.8783647291644854,0.0,0.0688,52.0,23.076923076923077,With Self Activation
979,Random_Network_Density_above_20p_Impurity_below_40p_980,5,-0.7154332593195668,0.0992933333333332,0.041499999999999995,72.0,33.333333333333336,With Self Activation
980,Random_Network_Density_above_20p_Impurity_below_40p_981,5,-0.9999985018438534,0.9908833333333331,0.9179999999999999,36.0,0.0,With Self Activation
981,Random_Network_Density_above_20p_Impurity_below_40p_982,5,-0.9999999999999999,0.9888066666666666,0.3424,88.0,9.090909090909092,With Self Activation
982,Random_Network_Density_above_20p_Impurity_below_40p_983,5,-0.9999999999999999,1.0,0.956,56.00000000000001,0.0,With Self Activation
983,Random_Network_Density_above_20p_Impurity_below_40p_984,5,0.33867699003966645,0.0,0.0078,64.0,37.5,With Self Activation
984,Random_Network_Density_above_20p_Impurity_below_40p_985,5,-0.99999786960812,0.9897299999999999,0.2376,92.0,13.043478260869565,With Self Activation
985,Random_Network_Density_above_20p_Impurity_below_40p_986,5,-0.932757916350691,0.6135866666666667,0.1776,68.0,17.64705882352941,With Self Activation
986,Random_Network_Density_above_20p_Impurity_below_40p_987,5,-0.999999999999736,0.9996533333333334,0.135,76.0,21.05263157894737,With Self Activation
987,Random_Network_Density_above_20p_Impurity_below_40p_988,5,-0.9369243838802364,0.6044699999999998,0.14250000000000002,80.0,20.0,With Self Activation
988,Random_Network_Density_above_20p_Impurity_below_40p_989,5,-0.9106894757443585,0.6074466666666665,0.3675,64.0,12.5,With Self Activation
989,Random_Network_Density_above_20p_Impurity_below_40p_990,5,-0.8668548596856074,0.3396399999999999,0.16699999999999998,64.0,18.75,With Self Activation
990,Random_Network_Density_above_20p_Impurity_below_40p_991,5,-0.9999998706095893,0.9959666666666667,0.6063000000000002,92.0,4.3478260869565215,With Self Activation
991,Random_Network_Density_above_20p_Impurity_below_40p_992,5,-0.8255816249080975,0.1106133333333333,0.058800000000000005,68.0,29.41176470588235,With Self Activation
992,Random_Network_Density_above_20p_Impurity_below_40p_993,5,-0.9112953999450433,0.2859,0.07929999999999998,96.0,29.16666666666667,With Self Activation
993,Random_Network_Density_above_20p_Impurity_below_40p_994,5,0.15440986010736368,0.0,0.022100000000000005,40.0,40.0,With Self Activation
994,Random_Network_Density_above_20p_Impurity_below_40p_995,5,-0.7306948978517736,0.0873099999999999,0.061700000000000005,48.0,25.0,With Self Activation
995,Random_Network_Density_above_20p_Impurity_below_40p_996,5,-0.9999999999999999,0.7708433333333333,0.9039999999999999,32.0,0.0,With Self Activation
996,Random_Network_Density_above_20p_Impurity_below_40p_997,5,-0.9999990797679484,0.9922433333333331,0.5411999999999999,76.0,5.2631578947368425,With Self Activation
997,Random_Network_Density_above_20p_Impurity_below_40p_998,5,-1.0,0.8947499999999999,0.35810000000000003,80.0,10.0,With Self Activation
998,Random_Network_Density_above_20p_Impurity_below_40p_999,5,-0.8947746393365464,0.0,0.052300000000000006,32.0,25.0,With Self Activation
999,Random_Network_Density_above_20p_Impurity_below_40p_1000,5,-0.9618790851448685,0.60188,0.1646,56.00000000000001,14.285714285714285,With Self Activation
