,Unnamed: 0,index,Team Size,CC AB,F1,Team_Strength,Core Density,Impurity,Self Activation Status,log(Team Strength)
572,572,Random_Network_Density_above_20p_Impurity_below_40p_573,5,0.1237238886471298,0.0,0.0308,88.0,86.36363636363636,With Self Activation,-3.4802405890026082
573,573,Random_Network_Density_above_20p_Impurity_below_40p_574,5,0.9546750213006928,0.0,0.042,28.000000000000004,100.0,With Self Activation,-3.170085660698769
574,574,Random_Network_Density_above_20p_Impurity_below_40p_575,5,0.3319830962189837,0.0,0.0117,72.0,61.11111111111112,With Self Activation,-4.448166437178426
575,575,Random_Network_Density_above_20p_Impurity_below_40p_576,5,-0.3649047504362274,0.0,0.0603999999999999,44.0,36.36363636363637,With Self Activation,-2.8067661740413694
576,576,Random_Network_Density_above_20p_Impurity_below_40p_577,5,-1.0,1.0000000000000002,0.2827999999999999,48.0,8.333333333333334,With Self Activation,-1.2630153449597197
577,577,Random_Network_Density_above_20p_Impurity_below_40p_578,5,-0.999992055297796,0.8714566666666665,0.1221,72.0,22.22222222222222,With Self Activation,-2.102914897865478
578,578,Random_Network_Density_above_20p_Impurity_below_40p_579,5,-1.0,0.98135,0.5736,72.0,5.555555555555555,With Self Activation,-0.5558229896967265
579,579,Random_Network_Density_above_20p_Impurity_below_40p_580,5,-0.122679754806204,0.0,0.019,52.0,46.15384615384615,With Self Activation,-3.9633162998156966
580,580,Random_Network_Density_above_20p_Impurity_below_40p_581,5,-0.7708251390327948,0.0,0.1677,24.0,16.666666666666668,With Self Activation,-1.785578610152974
581,581,Random_Network_Density_above_20p_Impurity_below_40p_582,5,0.7469087540461987,0.0,0.0075999999999999,40.0,90.0,With Self Activation,-4.879607031689865
582,582,Random_Network_Density_above_20p_Impurity_below_40p_583,5,-0.9487366143937948,0.7479566666666666,0.3652,48.0,8.333333333333334,With Self Activation,-1.0073101302613237
583,583,Random_Network_Density_above_20p_Impurity_below_40p_584,5,0.3800985869361888,3.3333333333333337e-06,0.0214,96.0,66.66666666666667,With Self Activation,-3.844364356954331
584,584,Random_Network_Density_above_20p_Impurity_below_40p_585,5,0.6509502763956067,0.0,0.0412,100.0,88.0,With Self Activation,-3.1893170226266565
585,585,Random_Network_Density_above_20p_Impurity_below_40p_586,5,0.3837394357147068,0.0,0.044,56.00000000000001,100.0,With Self Activation,-3.123565645063876
586,586,Random_Network_Density_above_20p_Impurity_below_40p_587,5,0.9998984911807322,0.0,0.008,92.0,100.0,With Self Activation,-4.8283137373023015
587,587,Random_Network_Density_above_20p_Impurity_below_40p_588,5,0.3833790906125954,0.0,0.0216999999999999,68.0,41.1764705882353,With Self Activation,-3.830443018435728
588,588,Random_Network_Density_above_20p_Impurity_below_40p_589,5,0.99977030788743,0.0,0.0279999999999999,72.0,100.0,With Self Activation,-3.5755507688069366
589,589,Random_Network_Density_above_20p_Impurity_below_40p_590,5,-0.5528366129682559,0.0,0.0556,24.0,33.333333333333336,With Self Activation,-2.8895720777256004
590,590,Random_Network_Density_above_20p_Impurity_below_40p_591,5,-0.84753716754542,0.1682066666666666,0.8490000000000001,24.0,0.0,With Self Activation,-0.16369609267078963
591,591,Random_Network_Density_above_20p_Impurity_below_40p_592,5,0.3217773935152223,0.0,0.0101,24.0,66.66666666666667,With Self Activation,-4.595219855134923
592,592,Random_Network_Density_above_20p_Impurity_below_40p_593,5,-0.9191197765702002,0.4367066666666666,0.1609999999999999,68.0,17.64705882352941,With Self Activation,-1.8263509139976748
593,593,Random_Network_Density_above_20p_Impurity_below_40p_594,5,0.4910875110271999,0.0,0.0059999999999999,20.0,80.0,With Self Activation,-5.115995809754098
594,594,Random_Network_Density_above_20p_Impurity_below_40p_595,5,-0.2053038741451072,0.0007566666666665,0.0082,68.0,47.05882352941176,With Self Activation,-4.803621124711929
595,595,Random_Network_Density_above_20p_Impurity_below_40p_596,5,-0.0486199706993358,0.0,0.0199,72.0,77.77777777777779,With Self Activation,-3.9170355472516905
596,596,Random_Network_Density_above_20p_Impurity_below_40p_597,5,0.707317841628769,0.0,0.0102,32.0,75.0,With Self Activation,-4.585367558691911
597,597,Random_Network_Density_above_20p_Impurity_below_40p_598,5,1.0,0.0,0.0194999999999999,68.0,76.47058823529412,With Self Activation,-3.9373408134124412
598,598,Random_Network_Density_above_20p_Impurity_below_40p_599,5,-0.2027573013641957,0.0,0.0135,40.0,80.0,With Self Activation,-4.305065593537753
