,CC AB,F1,Core Density,Impurity
CC AB,1.0,-0.5639975108267231,-0.2432299330199336,0.5083095009249274
F1,-0.5639975108267231,1.0,0.3173176818792484,-0.7383461156105577
Core Density,-0.2432299330199336,0.3173176818792484,1.0,0.08332535263686575
Impurity,0.5083095009249274,-0.7383461156105577,0.08332535263686575,1.0
