,Core Density,F-statistic,p-value
0,100,690.2283030990869,5.512691246988785e-193
1,80,1357.7833792949089,3.06e-322
2,60,1103.0083817202067,7.987212400037562e-298
3,40,1056.1612933490228,8.760433028522494e-293
4,20,169.49376637201584,7.81908920009648e-112
