,Core Density,F-statistic,p-value
0,100,190.17523635147873,6.867284668790204e-103
1,80,385.56655185578853,8.294218848615488e-184
2,60,314.8641934403138,2.324808929113261e-164
3,40,282.7668768751477,1.8409831495058236e-154
4,20,454.46175146478504,2.674076831374107e-200
