,Core Density,CC AB,F1,Impurity
Core Density,1.0,-0.038542051917104,0.1618153755516625,-1.9365646409713114e-15
CC AB,-0.038542051917104,1.0,-0.6307141391566405,0.8357156322396541
F1,0.1618153755516625,-0.6307141391566405,1.0,-0.6961494690444249
Impurity,-1.9365646409713114e-15,0.8357156322396541,-0.6961494690444249,1.0
